epoch,train_loss,map,best_map,early_stop_counter,val_loss
1,0.0771,0.8922,0.8922,0,0.0650
2,0.0571,0.8917,0.8922,1,0.0670
3,0.0489,0.8851,0.8922,2,0.0750
4,0.0438,0.8822,0.8922,3,0.0800
5,0.0400,0.8976,0.8976,0,0.0550
6,0.0355,0.9001,0.9001,0,0.0500
7,0.0332,0.8794,0.9001,1,0.0700
8,0.0308,0.8890,0.9001,2,0.0650
9,0.0296,0.8885,0.9001,3,0.0640
10,0.0249,0.8753,0.9001,4,0.0780
11,0.0266,0.8952,0.9001,5,0.0580
12,0.0231,0.8823,0.9001,6,0.0740
13,0.0203,0.8656,0.9001,7,0.0850
14,0.0203,0.8701,0.9001,8,0.0820
15,0.0217,0.8920,0.9001,9,0.0600
16,0.0173,0.8881,0.9001,10,0.0620
